"study","measure","n","mean","ci_lo","ci_hi","t_stat","p_value","cohen_d"
"Study 1","U(2) - U(5)",1960,0.348,0.336,0.36,56.7,"<0.001",1.281
"Study 1","[U(1)-U(2)] - [U(5)-U(6)]",1960,0.214,0.196,0.231,23.89,"<0.001",0.54
"Study 2","U(2) - U(5)",1001,0.348,0.329,0.366,37.32,"<0.001",1.18
"Study 2","[U(1)-U(2)] - [U(5)-U(6)]",1001,0.216,0.191,0.241,17.08,"<0.001",0.54
