"valuation","rank1","rank2","rank3","rank4","rank5","rank6"
"EUT",1,0.567173469387755,0.423285714285714,0.296326530612245,0.219316326530612,0
"CPT, Beta = .60",1,0.512070029753417,0.406938438495168,0.31788339221165,0.261944234136909,0
"CPT, Beta = .74",1,0.533936733418734,0.412902307212281,0.308648998994807,0.243683942139042,0
"CPT, Beta = .88",1,0.552839290020644,0.418539824611724,0.301225812256297,0.229053398316179,0
