Study,N,% male,Avg age,Avg male comp,Avg female comp
"Study 1 (MTurk, 6-person)",1960,52.0,35.0,5.0,4.4
"Study 2 (MTurk, 6-person)",1001,49.0,36.0,5.0,4.5
"Study 3 (Undergrads, 10-person)",423,36.0,21.0,5.7,5.2
