"study","measure","n","mean","ci_lo","ci_hi","t_stat","p_value","cohen_d"
"Study 3","U(2) - U(9)",423,0.453,0.423,0.484,28.88,"<0.001",1.404
"Study 3","[U(1)-U(2)] - [U(9)-U(10)]",423,0.226,0.19,0.262,12.4,"<0.001",0.603
