"study","H1","H2a","H2b","H4"
"Study 1","71.9% [69.9, 73.8]","79.3% [77.4, 81.0]","72.2% [70.2, 74.1]","68.0% [65.9, 70.0]"
"Study 2","69.1% [66.2, 71.9]","80.3% [77.7, 82.7]","68.0% [65.1, 70.8]","68.8% [65.9, 71.6]"
