"study","indicator","n","pct","ci_lo","ci_hi"
"Study 1","H1",1960,71.9,69.9,73.8
"Study 1","H2a",1960,79.3,77.4,81
"Study 1","H2b",1960,72.2,70.2,74.1
"Study 1","H4",1960,68,65.9,70
"Study 2","H1",1001,69.1,66.2,71.9
"Study 2","H2a",1001,80.3,77.7,82.7
"Study 2","H2b",1001,68,65.1,70.8
"Study 2","H4",1001,68.8,65.9,71.6
"Study 3","H1",423,58.2,53.4,62.8
"Study 3","H2a",423,79.2,75.1,82.8
"Study 3","H2b",423,67.6,63,71.9
"Study 3","H4",423,70.4,65.9,74.6
